Product Name,Current Factory,Scenario Factory,Records Scored,Predicted Slow Probability,Predicted Slow Rate,Current Slow Probability,Probability Reduction,Improvement_Percentage_Points,Is_Current_Factory
SweeTARTS,Sugar Shack,Secret Factory,10,0.45760725696399884,0.5,0.4593193738820031,0.0017121169180042695,0.17121169180042695,False
SweeTARTS,Sugar Shack,Sugar Shack,10,0.4593193738820031,0.4,0.4593193738820031,0.0,0.0,True
SweeTARTS,Sugar Shack,The Other Factory,10,0.44726520101898937,0.4,0.4593193738820031,0.012054172863013746,1.2054172863013746,False
SweeTARTS,Sugar Shack,Wicked Choccy's,10,0.4541747859174426,0.5,0.4593193738820031,0.005144587964560521,0.5144587964560521,False
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Lot's O' Nuts,1818,0.3161550374010338,0.33828382838283827,0.3161550374010338,0.0,0.0,True
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Secret Factory,1818,0.32149871030799504,0.33773377337733773,0.3161550374010338,-0.00534367290696125,-0.534367290696125,False
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Sugar Shack,1818,0.3253729044861984,0.3426842684268427,0.3161550374010338,-0.009217867085164588,-0.9217867085164588,False
Wonka Bar - Fudge Mallows,Lot's O' Nuts,The Other Factory,1818,0.3092461189183279,0.3327832783278328,0.3161550374010338,0.006908918482705917,0.6908918482705917,False
Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,1818,0.31858323155128315,0.3393839383938394,0.3161550374010338,-0.002428194150249363,-0.2428194150249363,False
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,2137,0.32702973793528234,0.3607861488067384,0.32902664486227245,0.0019969069269901163,0.19969069269901163,False
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,2137,0.33213310898900417,0.36218998596162844,0.32902664486227245,-0.0031064641267317117,-0.31064641267317117,False
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,2137,0.3366433709722423,0.36593355170800185,0.32902664486227245,-0.007616726109969829,-0.7616726109969829,False
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,2137,0.3192686125548425,0.358446420215255,0.32902664486227245,0.009758032307429942,0.9758032307429942,False
Wonka Bar - Milk Chocolate,Wicked Choccy's,Wicked Choccy's,2137,0.32902664486227245,0.36031820308844176,0.32902664486227245,0.0,0.0,True
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Lot's O' Nuts,1810,0.3258505217031831,0.3419889502762431,0.3258505217031831,0.0,0.0,True
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Secret Factory,1810,0.3317708144167737,0.34806629834254144,0.3258505217031831,-0.005920292713590569,-0.5920292713590569,False
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Sugar Shack,1810,0.3361062271147022,0.35303867403314915,0.3258505217031831,-0.0102557054115191,-1.02557054115191,False
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,The Other Factory,1810,0.31933133710395273,0.343646408839779,0.3258505217031831,0.006519184599230399,0.6519184599230399,False
Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,1810,0.3291455870755959,0.34806629834254144,0.3258505217031831,-0.003295065372412753,-0.3295065372412753,False
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Lot's O' Nuts,2015,0.3162363461706174,0.3270471464019851,0.3164426964150509,0.00020635024443349526,0.020635024443349526,False
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Secret Factory,2015,0.3197146064591684,0.32853598014888336,0.3164426964150509,-0.0032719100441174764,-0.32719100441174764,False
Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,Sugar Shack,2015,0.3238129474113839,0.33300248138957816,0.3164426964150509,-0.007370250996332983,-0.7370250996332983,False
